,X,Y
0,-1.5084522737735262,-1.8476304479482155
1,-1.095310323241979,-1.7033210321178698
2,-1.150505584352759,-0.3116874828979086
3,-0.03223898138019288,-0.06927084117695537
4,-0.6671414929613779,-0.4883560187321381
5,-1.4170391192273804,-1.042068973249541
6,-0.5230889841708082,-1.347678270033896
7,-0.580245728479432,-0.01594358439339727
8,-0.33642152759921595,-0.4966284923529751
9,-1.9493785548807512,-1.9060519649071133
10,-0.7278208782008815,-1.182083145951814
11,-0.3022340406591919,-1.9095944798357496
12,-0.7371849270397239,-1.2231140387040584
13,-1.4821072360475935,-0.8430322147628326
14,-1.8266947514656484,-0.43783129194271453
15,-0.17894078224272025,-0.7819214836068338
16,-1.9206921130157848,-1.24812089018845
17,-0.39148768648956866,-0.31413428890812023
18,-0.6144512969569209,-1.8677781397245663
19,-1.7476505116975518,-1.4347124998497078
20,-0.27981823668877315,-1.3098229854129988
21,-0.2641931957093693,-0.9018298497424118
22,-1.0311039619507298,-1.2772029022427571
23,-1.315639576372261,-1.1447755794013643
24,-1.6852115623504285,-1.5340414984298432
25,1.365368224953966,2.9946847191733035
26,2.142793041799391,1.3741440691051214
27,2.54695776068783,2.9691445112794845
28,2.376772106729288,2.0165175228689094
29,1.7981298292825807,2.138925907860298
30,1.3745483994137657,1.5125954755495805
31,1.7422698032531716,1.2474228418765438
32,1.25692062402795,2.29755183636731
33,2.827938051099077,2.870337471695355
34,2.896824887299513,1.1566224708681752
35,1.8892335810807306,2.1302609148297202
36,2.9780325386943156,1.4080546735340445
37,1.8533711280211767,1.081212329617378
38,2.806192817632697,2.2415514613407335
39,1.4134403729304732,2.7190564478348014
40,2.4857872034964412,1.4476722158489428
41,1.9301068038013878,1.1608306843611067
42,1.4275198597777086,1.4033806302079799
43,1.3411275227910562,1.3458375613033309
44,1.4010290305550641,1.4688775755868546
45,2.9221901983078906,2.3158842153684627
46,1.0742234450539287,2.3238340948147878
47,1.729785707457218,2.4670414405111556
48,2.6653983736817723,1.2922052051746733
49,2.459491501585913,2.3929873190498654
